Kingdom	Phylum	Class	Order	Family	Genus	Species
BIFADO	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	B. adolescentis
FAEPRAA2165	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Faecalibacterium	F. prausnitzii

